[21/02/2021 16:56:21] || Num active bids: 2
[21/02/2021 16:56:25] || Num active bids: 2
[21/02/2021 16:56:29] || Num active bids: 2
[21/02/2021 16:56:33] || Num active bids: 2
[21/02/2021 16:56:36] || Num active bids: 2
[21/02/2021 16:56:41] || Num active bids: 2
[21/02/2021 16:56:44] || Num active bids: 2
[21/02/2021 16:56:48] || Num active bids: 2
[21/02/2021 16:56:51] || Num active bids: 2
[21/02/2021 16:56:55] || Num active bids: 2
[21/02/2021 16:56:59] || Num active bids: 2
[21/02/2021 16:57:02] || Num active bids: 2
[21/02/2021 16:57:06] || Num active bids: 2
[21/02/2021 16:57:10] || Num active bids: 2
[21/02/2021 17:05:05] || Added player to player list
[21/02/2021 17:05:05] || Fetching player info
[21/02/2021 17:05:22] || Num active bids: 2
[21/02/2021 17:06:26] || Num active bids: 2
[21/02/2021 17:06:43] || Num active bids: 2
[21/02/2021 17:06:44] || Checking if we should outbid Rodríguez || Stop bidding at: 950.0 || CurBid: 750
[21/02/2021 17:06:48] || Bid succesfully went through!
[21/02/2021 17:06:48] || Successfully outbid Rodríguez || Stop price: 950.0 || CurBid: 750
[21/02/2021 17:06:48] || Checking if we should outbid Rodríguez || Stop bidding at: 950.0 || CurBid: 500
[21/02/2021 17:06:51] || Bid succesfully went through!
[21/02/2021 17:06:52] || Successfully outbid Rodríguez || Stop price: 950.0 || CurBid: 500
[21/02/2021 17:08:34] || Num active bids: 1
[21/02/2021 17:08:35] || Num active bids: 1
[21/02/2021 17:08:43] || Num active bids: 1
[21/02/2021 17:08:43] || Num active bids: 1
[21/02/2021 17:08:45] || Num active bids: 1
[21/02/2021 17:08:46] || Num active bids: 1
[21/02/2021 17:10:47] || Num active bids: 0
[21/02/2021 17:10:48] || No active bids detected... now need to expired and send to TL
[21/02/2021 17:11:00] || Cleared expired players
[21/02/2021 17:11:01] || inside transferlist method now
[21/02/2021 17:28:12] || User is not on Watchlist, breaking method here
[21/02/2021 17:28:12] || inside transferlist method now
[21/02/2021 17:29:05] || Num active bids: 6
[21/02/2021 17:29:05] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:06] || Num active bids: 6
[21/02/2021 17:29:07] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:07] || Num active bids: 6
[21/02/2021 17:29:08] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:08] || Num active bids: 6
[21/02/2021 17:29:09] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:10] || Num active bids: 6
[21/02/2021 17:29:11] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:12] || Num active bids: 6
[21/02/2021 17:29:13] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:14] || Num active bids: 6
[21/02/2021 17:29:14] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:15] || Num active bids: 6
[21/02/2021 17:29:16] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:16] || Num active bids: 6
[21/02/2021 17:29:16] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:17] || Num active bids: 6
[21/02/2021 17:29:18] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:18] || Num active bids: 6
[21/02/2021 17:29:19] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:19] || Num active bids: 6
[21/02/2021 17:29:20] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:20] || Num active bids: 6
[21/02/2021 17:29:21] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:22] || Num active bids: 6
[21/02/2021 17:29:23] || No cards were found to be outbid. Rerunning watchlist manager.
[21/02/2021 17:29:23] || Num active bids: 6
